key,abreb,nombre,Valor point,valor
1,MA,Muy Alto,3.5 - 5,5
2,A,Alto,2.5 - 3.4,4
3,M,Medio,1.5 - 2.4,3
4,B,Bajo,0.5 - 1.4,2
5,D,Despresiable,0 - 0.4,1
