key,abreb,nombre,Valor point,valor
1,MA,Muy Alto,0.9 - 1,5
2,A,Alto,0.7 - 0.81,4
3,M,Medio,0.35 - 0.64,3
4,B,Bajo,0.15 - 0.32,2
5,D,Despresiable,0 - 0.14,1
