key,abreb,nombre,Valor point,valor
1,MA,Muy Alto,21 - 25,5
2,A,Alto,16 - 20,4
3,M,Medio,11 - 15,3
4,B,Bajo,6 - 10,2
5,D,Despresiable,1 - 5,1
