key,abreb,nombre,Valor point,valor
1,MA,Muy Alto,9 - 10,5
2,A,Alto,6 - 8,4
3,M,Medio,3 - 5,3
4,B,Bajo,1 - 2,2
5,D,Despresiable,0 - 0,1
